title_id,title_name,title_type,genre,release_year,studio,content_rating
TTL-0001,Dark Horizons,Series,Thriller,2022,Paramount Global,TV-MA
TTL-0002,Midnight Protocol,Series,Drama,2023,Paramount Global,TV-14
TTL-0003,Echoes of Tomorrow,Series,Sci-Fi,2023,Lionsgate,TV-MA
TTL-0004,The Last Frontier,Film,Action,2021,Warner Bros. Discovery,PG-13
TTL-0005,Crown of Shadows,Series,Drama,2024,BBC Studios,TV-14
TTL-0006,Crimson Horizon,Film,Action,2023,NBCUniversal,PG-13
TTL-0007,Shadow Protocol,Series,Thriller,2022,Sony Pictures,TV-MA
TTL-0008,The Reckoning,Film,Drama,2024,A24,R
TTL-0009,The Convergence,Series,Drama,2024,ITV Studios,TV-14
TTL-0003,Echoes of Tomorrow,Series,Sci-Fi,2023,Lionsgate,TV-MA
TTL-0007,Shadow Protocol,Series,Thriller,2022,Sony Pictures,TV-MA
